Name,FIPS,"# Total Population, 2023 [Estimated]","Median Household Income, 2023 [Estimated]","# Housing Occupancy Status | Occupied, 2023 [Estimated]","# Vehicles Available | Occupied housing units, 2023 [Estimated]","# Vehicles Available | No vehicle available, 2023 [Estimated]","% Transportation to Work | Car, truck, or van, 2023 [Estimated]","% Transportation to Work | Public transportation, 2023 [Estimated]","% Transportation to Work | Bicycle, 2023 [Estimated]","% Transportation to Work | Walked, 2023 [Estimated]"
"BG5462012, Wayne County, MI",261635462012,1458,86193.857142857,459,459,37,93.2345,0.0927,0,0
"BG5142001, Wayne County, MI",261635142001,1457,23275.838480802,745,745,294,83.5443,15.0316,0,0
"BG5408002, Wayne County, MI",261635408002,1454,54412.947643068,380,380,9,78.341,7.2197,0,0
"BG5008001, Wayne County, MI",261635008001,1447,25345.340005706,513,513,106,89.9787,0,0,0
"BG5381001, Wayne County, MI",261635381001,1444,72812.931544817,636,636,0,94.963,3.8519,0,0
"BG5425001, Wayne County, MI",261635425001,1444,57361.4,491,491,9,60.8547,2.3932,0,4.2735
"BG5369001, Wayne County, MI",261635369001,1441,35654.768898994,525,525,52,89.5582,0,0,7.2289
"BG5389002, Wayne County, MI",261635389002,1441,62656.389281343,782,782,2,82.4934,10.8753,0,0
"BG5066002, Wayne County, MI",261635066002,1439,43722.563948444,205,205,12,79.3578,0,0,0
"BG5160002, Wayne County, MI",261635160002,1437,34684.456221126,218,218,70,63.249,21.0386,0,0
"BG5031001, Wayne County, MI",261635031001,1435,45562.804502275,626,626,19,95.8175,0,0,0.3802
"BG5467001, Wayne County, MI",261635467001,1432,41422.44794613,614,614,103,99.4374,0.4219,0,0
"BG5202001, Wayne County, MI",261635202001,1429,32805.513480944,566,566,276,39.805,5.9397,2.1277,27.2163
"BG5417001, Wayne County, MI",261635417001,1429,34048.607621664,969,969,320,50.5682,8.8068,0,0
"BG5072001, Wayne County, MI",261635072001,1426,36102.099171543,380,380,0,93.5354,1.6162,0,3.0303
